"FIPS_Code","Year","State","Avg.Unhealthy.Days","Avg.Max.AQI","Avg.Days.PM2.5","y2_state","Migrants.outflows"
42,2018,"Pennsylvania",0.128205128205128,111.615384615385,114.076923076923,"PA",205965
44,2018,"Rhode Island",0,134,169.333333333333,"RI",27606
45,2018,"South Carolina",0,82.7777777777778,141.111111111111,"SC",115117
46,2018,"South Dakota",0,135,116.5,"SD",23225
47,2018,"Tennessee",0.0434782608695652,97.5217391304348,178.04347826087,"TN",149277
48,2018,"Texas",0.571428571428571,130.142857142857,130.571428571429,"TX",436619
49,2018,"Utah",0.933333333333333,131.133333333333,53.1333333333333,"UT",72235
50,2018,"Vermont",0,82.75,103.5,"VT",16217
51,2018,"Virginia",0,80.09375,63.625,"VA",251281
53,2018,"Washington",4.4,196.2,296.4,"WA",184845
54,2018,"West Virginia",0,86.3571428571429,81.0714285714286,"WV",37125
55,2018,"Wisconsin",0.481481481481481,124.518518518519,89.2222222222222,"WI",89383
56,2018,"Wyoming",0.166666666666667,106.5,14.8333333333333,"WY",23201
1,2019,"Alabama",0,88.8235294117647,125.117647058824,"AL",85235
2,2019,"Alaska",2.33333333333333,146.333333333333,181.888888888889,"AK",33857
4,2019,"Arizona",0.153846153846154,162.461538461538,38.8461538461538,"AZ",154498
5,2019,"Arkansas",0,83.6153846153846,114.846153846154,"AR",57866
6,2019,"California",2.66037735849057,226.264150943396,98.3962264150943,"CA",585372
8,2019,"Colorado",0.0714285714285714,95.0357142857143,37.6071428571429,"CO",170814
9,2019,"Connecticut",0.75,131.625,69.5,"CT",80485
10,2019,"Delaware",0,104,94.3333333333333,"DE",26866
12,2019,"Florida",0,92.7948717948718,103.051282051282,"FL",436820
13,2019,"Georgia",0.103448275862069,105.379310344828,159.241379310345,"GA",220399
15,2019,"Hawaii",0.25,93,247.75,"HI",57742
16,2019,"Idaho",0.15,89.75,286.1,"ID",45250
17,2019,"Illinois",0.130434782608696,106.04347826087,123.304347826087,"IL",247351
18,2019,"Indiana",0,89.4594594594595,97.2702702702703,"IN",112345
19,2019,"Iowa",0,85.25,163.1875,"IA",59037
20,2019,"Kansas",0.0909090909090909,100.545454545455,80.7272727272727,"KS",79871
21,2019,"Kentucky",0,81.5185185185185,79.3333333333333,"KY",82499
22,2019,"Louisiana",0,91.6363636363636,112.818181818182,"LA",84709
23,2019,"Maine",0.1,92.8,79.2,"ME",23229
24,2019,"Maryland",0,108.75,82.75,"MD",157783
25,2019,"Massachusetts",0,96,82.6923076923077,"MA",134296
26,2019,"Michigan",0,90.8214285714286,75.9285714285714,"MI",127440
27,2019,"Minnesota",0.0476190476190476,96.4285714285714,173.47619047619,"MN",87729
28,2019,"Mississippi",0,92.1,163.3,"MS",61222
29,2019,"Missouri",0.0476190476190476,91.1904761904762,90.6666666666667,"MO",118256
30,2019,"Montana",0.105263157894737,94.6315789473684,179.736842105263,"MT",27450
